Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
QD_Produtos||All_cities||traffic,2021-11-22,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,1,1,0,0,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,1,1,0.01,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,7,1269,1329,5.16,0.74,1.047281324,7,9,0.551615445,0.526711813,0,0,131,86,0,0.05997225,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,919,965,3.98,3.98,1.050054407,1,1,0.108813928,0.103626943,0,0,93,59,0,0.06752584,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,657,684,2.71,2.71,1.04109589,1,3,0.152207002,0.14619883,0,0,166,101,0,0.02680683,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,532,565,2.00,2.00,1.062030075,1,1,0.187969925,0.17699115,0,0,87,58,0,0.03443379,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,0,0,268,287,1.55,0.00,1.070895522,0,0,0,0,0,0,8,7,0,0.22207004,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Alagoas,active,adset,Traffic||Branding geral||Novembro,0,0,260,274,1.00,0.00,1.053846154,0,0,0,0,0,0,14,11,0,0.09077999,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Ceará,active,adset,Traffic||Branding geral||Novembro,0,0,129,135,0.46,0.00,1.046511628,0,0,0,0,0,0,10,10,0,0.04632587,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Piauí,active,adset,Traffic||Branding geral||Novembro,0,0,60,62,0.29,0.00,1.033333333,0,0,0,0,0,0,3,3,0,0.09608328,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,0,0,28,30,0.09,0.00,1.071428571,0,0,0,0,0,0,6,4,0,0.02316293,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Goiás,active,adset,Traffic||Branding geral||Novembro,0,0,26,28,0.20,0.00,1.076923077,0,0,0,0,0,0,1,1,0,0.19559811,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,1,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-22,Maranhão,active,adset,Traffic||Branding geral||Novembro,0,0,11,11,0.02,0.00,1,0,0,0,0,0,0,1,1,0,0.02058928,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,3,3,0.02,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Ceará,active,adset,Traffic||Branding geral||Novembro,0,0,172,182,0.62,0.00,1.058139535,0,0,0,0,0,0,21,11,0,0.05616457,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,5,1607,1684,7.29,1.46,1.04791537,5,8,0.311138768,0.296912114,0,0,195,113,0,0.0645147,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,986,1031,4.54,4.54,1.045638945,1,5,0.101419878,0.09699321,0,0,114,70,0,0.06487007,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,4,890,928,3.62,0.91,1.042696629,4,4,0.449438202,0.431034483,0,0,260,129,0,0.0280968,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,248,261,1.00,1.00,1.052419355,1,1,0.403225806,0.383141762,0,0,26,19,0,0.05256806,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,201,209,1.19,1.19,1.039800995,1,1,0.497512438,0.4784689,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,700,737,2.64,2.64,1.052857143,1,1,0.142857143,0.13568521,0,0,122,76,0,0.03468408,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Piauí,active,adset,Traffic||Branding geral||Novembro,0,0,80,84,0.26,0.00,1.05,0,0,0,0,0,0,8,5,0,0.05148418,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,0,0,37,39,0.16,0.00,1.054054054,0,0,0,0,0,0,5,4,0,0.04118735,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Goiás,active,adset,Traffic||Branding geral||Novembro,0,0,18,20,0.11,0.00,1.111111111,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Maranhão,active,adset,Traffic||Branding geral||Novembro,0,0,15,17,0.06,0.00,1.133333333,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Produtos||All_cities||traffic,2021-11-22,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,4,4,0.01,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-22,2021-11-22
QD_Vantagens ||All_cities||traffic,2021-11-21,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,43,7696,8763,37.50,0.87,1.138643451,42,52,0.545738046,0.490699532,0,0,3400,1420,0,0.02640593,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,216,322,1.13,1.13,1.490740741,1,2,0.462962963,0.310559006,0,0,154,60,0,0.01883656,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,21,4424,5766,25.68,1.22,1.303345389,20,32,0.452079566,0.364203954,0,0,1454,576,0,0.04459096,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,14,4048,4201,16.25,1.16,1.037796443,14,20,0.345849802,0.333253987,0,0,2832,864,0,0.01881109,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,15,2912,3665,13.71,0.91,1.258585165,14,19,0.480769231,0.409276944,0,0,1628,620,0,0.02211669,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,Cliques no link,13,1368,1833,8.72,0.67,1.339912281,11,19,0.804093567,0.709219858,0,0,252,108,0,0.08075456,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,7,1320,1623,7.38,1.05,1.229545455,7,10,0.53030303,0.431300062,0,0,510,172,0,0.04291432,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Ceará,active,adset,Traffic||Branding geral||Novembro,0,0,784,913,3.50,0.00,1.164540816,0,0,0,0,0,0,329,160,0,0.02187874,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Piauí,active,adset,Traffic||Branding geral||Novembro,0,0,421,421,1.61,0.00,1,0,0,0,0,0,0,116,68,0,0.02368052,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,41,7576,9320,38.46,0.94,1.230200634,41,57,0.541182682,0.439914163,0,0,4016,1432,0,0.02685754,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Goiás,active,adset,Traffic||Branding geral||Novembro,0,0,152,166,0.73,0.00,1.092105263,0,0,0,0,0,0,30,16,0,0.04563281,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Paraná,active,adset,Traffic||Branding geral||Novembro,0,0,0,2,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,21,4912,5370,19.91,0.95,1.093241042,19,25,0.386807818,0.391061453,0,0,4608,1436,0,0.0138649,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,19,3376,4038,14.86,0.78,1.196090047,16,21,0.473933649,0.470529965,0,0,2279,824,0,0.01803398,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,3,1176,1439,6.10,2.03,1.223639456,3,5,0.255102041,0.20847811,0,0,486,156,0,0.03910256,2021-11-21,2021-11-21
