Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,1744,1933,6.08,2.03,1.10837156,3,4,0.172018349,0.155199172,,,180,116,,0.05240206,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,11,3310,3632,11.43,1.04,1.097280967,10,12,0.302114804,0.302863436,,,447,268,,0.04265189,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Paraná,active,adset,Traffic||Branding geral||Dezembro,,,1,1,0.01,,1,,0,0,,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,2,4,0.00,,2,,0,0,,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Pará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,6,6,0.03,0.03,1,1,1,16.66666667,16.66666667,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Goiás,active,adset,Traffic||Branding geral||Dezembro,,,43,43,0.13,,1,,0,0,,,,1,1,,0.13303419,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Maranhão,active,adset,Traffic||Branding geral||Dezembro,,,47,49,0.06,,1.042553191,,0,0,,,,8,4,,0.0153501,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,,,112,112,0.20,,1,,0,0,,,,25,14,,0.01461914,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Piauí,active,adset,Traffic||Branding geral||Dezembro,,,169,179,0.38,,1.059171598,,0,0,,,,16,10,,0.03786358,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,São Paulo (state),active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,251,270,0.97,0.97,1.075697211,1,1,0.398406375,0.37037037,,,13,9,,0.10801921,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,350,401,1.05,1.05,1.145714286,1,2,0.285714286,0.249376559,,,37,29,,0.03634621,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Alagoas,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,463,540,1.38,0.69,1.166306695,2,2,0.431965443,0.37037037,,,82,48,,0.02878143,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,4,1301,1377,4.18,1.04,1.058416603,4,6,0.307455803,0.290486565,,,214,124,,0.03367118,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-28,Sergipe,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,5,1834,2018,5.68,1.14,1.100327154,5,8,0.272628135,0.247770069,,,759,393,,0.01445175,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,438,589,2.04,0.68,1.344748858,3,4,0.684931507,0.509337861,,,38,28,,0.07271282,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Sergipe,active,adset,Traffic||Branding geral||Dezembro,,,320,450,1.68,,1.40625,,0,0,,,,93,45,,0.03744292,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,292,404,1.02,0.34,1.383561644,3,3,1.02739726,0.742574257,,,58,36,,0.0284165,2021-12-28,2021-12-28
